SUBCAT;CLASSIF;RESTRSEXO;CAUSAOBITO;DESCRICAO;DESCRABREV;REFER;EXCLUIDOS;
O421;;F;;Ruptura prematura de membranas, com início do trabalho de parto depois das primeiras 24 horas;O42.1 Ruptura premat membr inic trab parto dep 24h;;;
O422;;F;;Ruptura prematura de membranas, com trabalho de parto retardado por terapêutica;O42.2 Ruptura premat membr trab parto retard terap;;;
O429;;F;;Ruptura prematura de membranas, não especificada;O42.9 Ruptura prematura de membranas NE;;;
O430;;F;;Síndromes de transfusão placentária;O43.0 Sindr de transfusao placentaria;;;
O431;;F;;Malformação da placenta;O43.1 Malformacao da placenta;;;
O438;;F;;Outros transtornos da placenta;O43.8 Outr transt da placenta;;;
O439;;F;;Transtorno da placenta, não especificado;O43.9 Transt da placenta NE;;;
O440;;F;;Placenta prévia especificada como sem hemorragia;O44.0 Placenta previa espec como s/hemorragia;;;
O441;;F;;Placenta prévia com hemorragia;O44.1 Placenta previa c/hemorragia;;;
O450;;F;;Descolamento prematuro da placenta com deficiência de coagulação;O45.0 Descolamento premat placenta c/defic coagul;;;
O458;;F;;Outro descolamento prematuro da placenta;O45.8 Outr descolamento prematuro da placenta;;;
O459;;F;;Descolamento prematuro da placenta, não especificado;O45.9 Descolamento prematuro da placenta NE;;;
O460;;F;;Hemorragia anteparto com deficiência de coagulação;O46.0 Hemorragia anteparto c/defic de coagulacao;;;
O468;;F;;Outra forma de hemorragia anteparto;O46.8 Outr form de hemorragia anteparto;;;
O469;;F;;Hemorragia anteparto, não especificada;O46.9 Hemorragia anteparto NE;;;
O470;;F;;Falso trabalho de parto antes de se completarem 37 semanas de gestação;O47.0 Falso trab parto antes de 37 sem gestacao;;;
O471;;F;;Falso trabalho de parto na 37ª semana completa ou depois dela;O47.1 Falso trab parto 37ª sem completa ou depois;;;
O479;;F;;Falso trabalho de parto, não especificado;O47.9 Falso trabalho de parto NE;;;
O48;;F;;Gravidez prolongada;O48   Gravidez prolongada;;;
O600;;F;;Trabalho de parto pré-termo sem parto;O60.0 Trabalho de parto pré-termo sem parto;;;
O601;;F;;Trabalho de parto pré-termo com parto pré-termo;O60.1 Trabalho parto pré-termo c/parto pré-termo;;;
O602;;F;;Trabalho de parto pré-termo com parto a termo;O60.2 Trabalho de parto pré-termo c/parto a termo;;;
O610;;F;;Falha na indução médica do trabalho de parto;O61.0 Falha na inducao medica do trabalho de parto;;;
O611;;F;;Falha na indução instrumental do trabalho de parto;O61.1 Falha inducao instrumental trabalho de parto;;;
O618;;F;;Outras formas de falha na indução do trabalho de parto;O61.8 Outr form falha na inducao trabalho de parto;;;
O619;;F;;Falha na indução do trabalho de parto, não especificada;O61.9 Falha na inducao do trabalho de parto NE;;;
O620;;F;;Contrações iniciais inadequadas;O62.0 Contracoes iniciais inadequadas;;;
O621;;F;;Inércia uterina secundária;O62.1 Inercia uterina secund;;;
O622;;F;;Outras formas de inércia uterina;O62.2 Outr form de inercia uterina;;;
O623;;F;;Trabalho de parto precipitado;O62.3 Trabalho de parto precipitado;;;
O624;;F;;Contrações uterinas hipertônicas, incoordenadas ou prolongadas;O62.4 Contrac uterinas hiperton incoord ou prolong;;;
O628;;F;;Outras anormalidades da contração uterina;O62.8 Outr anormalidades da contracao uterina;;;
O629;;F;;Anormalidades da contração uterina, não especificadas;O62.9 Anormalidades da contracao uterina NE;;;
O630;;F;;Prolongamento do primeiro período (dilatação);O63.0 Prolongamento do primeiro periodo;;;
O631;;F;;Prolongamento do segundo período (expulsão);O63.1 Prolongamento do segundo periodo;;;
O632;;F;;Parto retardado do segundo gêmeo, do terceiro gêmeo etc;O63.2 Parto retardado segundo terceiro gemeo etc;;;
O639;;F;;Trabalho de parto prolongado, não especificado;O63.9 Trabalho de parto prolongado NE;;;
O640;;F;;Obstrução do trabalho de parto devida à rotação incompleta do polo cefálico fetal;O64.0 Obstr trab part dev rot incomp polo cef fet;;;
O641;;F;;Obstrução do trabalho de parto devida à apresentação pélvica;O64.1 Obstr trab parto dev apresentacao pelvica;;;
O642;;F;;Obstrução do trabalho de parto devida à apresentação de face;O64.2 Obstr trab parto dev apresentacao de face;;;
O643;;F;;Obstrução do trabalho de parto devida à apresentação de fronte;O64.3 Obstr trab parto dev apresentacao de fronte;;;
O644;;F;;Obstrução do trabalho de parto devida à apresentação de ombro;O64.4 Obstr trab parto dev apresentacao de ombro;;;
O645;;F;;Obstrução do trabalho de parto devida à apresentação complexa;O64.5 Obstr trab parto dev apresentacao complexa;;;
O648;;F;;Obstrução do trabalho de parto devida a outras formas de má-apresentação e má-posição;O64.8 Obstr trab part dev out form ma-apres ma-pos;;;
O649;;F;;Obstrução do trabalho de parto devida a má-posição ou má-apresentação, não especificadas;O64.9 Obstr trab parto dev ma-posic ou ma-apres NE;;;
O650;;F;;Obstrução do trabalho de parto devida a deformidade pélvica;O65.0 Obstr trabalho de parto dev deform pelvica;;;
O651;;F;;Obstrução do trabalho de parto devida à contração geral da pelve;O65.1 Obstr trab parto dev contracao geral pelve;;;
O652;;F;;Obstrução do trabalho de parto devida à contração do estreito superior;O65.2 Obstr trab parto dev contracao estreito sup;;;
O653;;F;;Obstrução do trabalho de parto devida à contração do estreito inferior ou da cavidade mediana;O65.3 Obstr trab parto dev contr estr inf cav med;;;
O654;;F;;Obstrução do trabalho de parto devida a desproporção feto-pélvica, não especificada;O65.4 Obstr trab parto dev desprop feto-pelvica NE;;;
O655;;F;;Obstrução do trabalho de parto devida a anormalidade dos órgãos pélvicos maternos;O65.5 Obstr trab parto dev anorm org pelvicos mat;;;
O658;;F;;Obstrução do trabalho de parto devida a outras anormalidades pélvicas maternas;O65.8 Obstr trab parto dev outr anorm pelvicas mat;;;
O659;;F;;Obstrução do trabalho de parto devida a anormalidades pélvicas maternas não especificadas;O65.9 Obstr trab parto dev anorm pelvicas mat NE;;;
O660;;F;;Obstrução do trabalho de parto devido a distócia de ombro;O66.0 Obstr trab parto dev distocia de ombro;;;
O661;;F;;Obstrução do trabalho de parto por colisão de gêmeos;O66.1 Obstr trabalho de parto p/colis de gemeos;;;
O662;;F;;Obstrução do trabalho de parto por feto excepcionalmente grande;O66.2 Obstr trab parto p/feto excepc grande;;;
O663;;F;;Obstrução do trabalho de parto devido a outras anormalidades do feto;O66.3 Obstr trab parto dev outr anorm do feto;;;
O664;;F;;Falha de tentativa de trabalho de parto, não especificada;O66.4 Falha de tentativa de trabalho de parto NE;;;
O665;;F;;Falha de aplicação de fórceps e vácuo-extrator, não especificada;O66.5 Falha aplicacao forceps e vacuo-extrator NE;;;
O668;;F;;Outras formas de obstrução do trabalho de parto, especificadas;O66.8 Outr form de obstrucao do trab parto espec;;;
O669;;F;;Obstrução do trabalho de parto, não especificado;O66.9 Obstrucao do trabalho de parto NE;;;
O670;;F;;Hemorragia intraparto com deficiência de coagulação;O67.0 Hemorragia intraparto c/defic de coagulacao;;;
O678;;F;;Outras hemorragias intraparto;O67.8 Outr hemorragias intraparto;;;
O679;;F;;Hemorragia intraparto não especificada;O67.9 Hemorragia intraparto NE;;;
O680;;F;;Trabalho de parto e parto complicados por anormalidade da freqüência cardíaca fetal;O68.0 Trab parto e parto compl anorm freq card fet;;;
O681;;F;;Trabalho de parto e parto complicados por mecônio no líquido amniótico;O68.1 Trab parto e parto compl meconio liq amniot;;;
O682;;F;;Trabalho de parto e parto complicados por anormalidade na freqüência cardíaca fetal com mecônio no líquido amniótico;O68.2 Trab part part anor frq card fet mec liq amn;;;
O683;;F;;Trabalho de parto e parto complicados por evidências bioquímicas de sofrimento fetal;O68.3 Trab parto e parto compl evid bioq sofr fet;;;
O688;;F;;Trabalho de parto e parto complicados por outras evidências de sofrimento fetal;O68.8 Trab parto e parto compl outr evid sofr fet;;;
O689;;F;;Trabalho de parto e parto complicados por sofrimento fetal, não especificado;O68.9 Trab parto e parto complic sofr fetal NE;;;
O690;;F;;Trabalho de parto e parto complicados por prolapso do cordão;O69.0 Trab parto e parto complic prolapso cordao;;;
O691;;F;;Trabalho de parto e parto complicados por circular de cordão, com compressão;O69.1 Trab part part compl circul cordao c/compres;;;
O692;;F;;Trabalho de parto e parto complicados por outros enovelamentos do cordão;O69.2 Trab parto e parto compl outr enovel cordao;;;
O693;;F;;Trabalho de parto e parto complicados por cordão curto;O69.3 Trab parto e parto complic p/cordao curto;;;
O694;;F;;Trabalho de parto e parto complicados por vasa praevia;O69.4 Trab parto e parto complic p/vasa praevia;;;
O695;;F;;Trabalho de parto e parto complicados por lesão vascular do cordão;O69.5 Trab parto e parto complic lesao vasc cordao;;;
O698;;F;;Trabalho de parto e parto complicados por outras complicações do cordão;O69.8 Trab parto e parto complic outr compl cordao;;;
O699;;F;;Trabalho de parto e parto complicados por complicações do cordão, não especificadas;O69.9 Trab parto e parto complic cordao NE;;;
O700;;F;;Laceração de períneo de primeiro grau durante o parto;O70.0 Laceracao perineo 1. grau durante o parto;;;
O701;;F;;Laceração de períneo de segundo grau durante o parto;O70.1 Laceracao perineo 2. grau durante o parto;;;
O702;;F;;Laceração de períneo de terceiro grau durante o parto;O70.2 Laceracao perineo 3. grau durante o parto;;;
O703;;F;;Laceração de períneo de quarto grau durante o parto;O70.3 Laceracao perineo 4. grau durante o parto;;;
O709;;F;;Laceração de períneo durante o parto, não especificada;O70.9 Laceracao de perineo durante o parto NE;;;
O710;;F;;Ruptura do útero antes do início do trabalho de parto;O71.0 Ruptura do utero antes inicio trab parto;;;
O711;;F;;Ruptura do útero durante o trabalho de parto;O71.1 Ruptura do utero durante o trabalho de parto;;;
O712;;F;;Inversão do útero pós-parto;O71.2 Inversao do utero pos-parto;;;
O713;;F;;Laceração obstétrica do colo do útero;O71.3 Laceracao obstetrica do colo do utero;;;
O714;;F;;Laceração vaginal alta isolada, de origem obstétrica;O71.4 Laceracao vaginal alta isolada orig obstetr;;;
O715;;F;;Outras lesões obstétricas aos órgãos pélvicos;O71.5 Outr lesoes obstetricas aos orgaos pelvicos;;;
O716;;F;;Lesão obstétrica das articulações e dos ligamentos pélvicos;O71.6 Lesao obstetr artic e ligamentos pelvicos;;;
O717;;F;;Hematoma obstétrico da pelve;O71.7 Hematoma obstetrico da pelve;;;
O718;;F;;Outros traumatismos obstétricos especificados;O71.8 Outr traum obstetricos espec;;;
O719;;F;;Traumatismo obstétrico, não especificado;O71.9 Traum obstetrico NE;;;
O720;;F;;Hemorragia do terceiro estágio;O72.0 Hemorragia do terceiro estagio;;;
O721;;F;;Outras hemorragias do pós-parto imediato;O72.1 Outr hemorragias do pos-parto imediato;;;
O722;;F;;Hemorragias pós-parto, tardias e secundárias;O72.2 Hemorragias pos-parto tard e secund;;;
O723;;F;;Deficiências de coagulação pós-parto;O72.3 Defic de coagulacao pos-parto;;;
O730;;F;;Retenção da placenta sem hemorragia;O73.0 Retencao da placenta s/hemorragia;;;
O731;;F;;Retenção de partes da placenta ou das membranas, sem hemorragia;O73.1 Retencao partes placenta ou membr s/hemorrag;;;
O740;;F;;Pneumonite aspirativa devida a anestesia durante o trabalho de parto e o parto;O74.0 Pneumonite aspirat dev anest trab parto part;;;
O741;;F;;Outras complicações pulmonares devidas a anestesia durante o trabalho de parto e no parto;O74.1 Outr complic pulm dev anest trab parto parto;;;
O742;;F;;Complicações cardíacas devidas a anestesia durante o trabalho de parto e no parto;O74.2 Complic card dev anest trab parto e parto;;;
O743;;F;;Complicações do sistema nervoso central devidas a anestesia durante o trabalho de parto e no parto;O74.3 Comp sist nerv cent dev anest trab part part;;;
O744;;F;;Reação tóxica a anestesia local durante trabalho de parto e o parto;O74.4 Reacao toxica anest local trab parto e parto;;;
O745;;F;;Cefaléia pós-anestesia raquidiana e peridural, durante o trabalho de parto e parto;O74.5 Cefal pos-anest raquid perid trab parto part;;;
O746;;F;;Outras complicações de anestesia raquidiana ou peridural, durante o trabalho de parto e parto;O74.6 Outr compl anest raquid perid trab part part;;;
O747;;F;;Falha ou dificuldade de entubação durante o trabalho de parto e parto;O74.7 Falha ou dific entubacao trab parto e parto;;;
O748;;F;;Outras complicações de anestesia durante o trabalho de parto e parto;O74.8 Outr complic anest durante trab parto parto;;;
O749;;F;;Complicações de anestesia durante o trabalho de parto e parto, não especificadas;O74.9 Complic anest durante trab parto e parto NE;;;
O750;;F;;Sofrimento materno durante o trabalho de parto e o parto;O75.0 Sofrim materno durante trab parto e parto;;;
O751;;F;;Choque durante ou subseqüente ao trabalho de parto e o parto;O75.1 Choque durante ou subseq trab parto e parto;;;
O752;;F;;Febre durante o trabalho de parto não classificada em outra parte;O75.2 Febre durante o trabalho de parto NCOP;;;
O753;;F;;Outras infecções durante o trabalho de parto;O75.3 Outr infecc durante o trabalho de parto;;;
O754;;F;;Outras complicações de procedimentos ou de cirurgia obstétrica;O75.4 Outr complic proced ou cirurgia obstetrica;;;
O755;;F;;Demora do parto após ruptura artificial das membranas;O75.5 Demora do parto apos ruptura artif membranas;;;
O756;;F;;Demora do parto após ruptura espontânea ou não especificada das membranas;O75.6 Demora parto apos ruptura espont ou NE membr;;;
O757;;F;;Parto vaginal subseqüente a cesariana anterior;O75.7 Parto vaginal subseq cesariana anterior;;;
O758;;F;;Outras complicações especificadas do trabalho de parto e do parto;O75.8 Outr complic espec trab parto e do parto;;;
O759;;F;;Complicações do trabalho de parto e do parto, não especificadas;O75.9 Complic do trabalho de parto e do parto NE;;;
O800;;F;;Parto espontâneo cefálico;O80.0 Parto espontaneo cefalico;;;
O801;;F;;Parto espontâneo pélvico;O80.1 Parto espontaneo pelvico;;;
O808;;F;;Outros tipos de parto único espontâneo;O80.8 Outr tipos de parto unico espontaneo;;;
O809;;F;;Parto único espontâneo, não especificado;O80.9 Parto unico espontaneo NE;;;
O810;;F;;Parto por fórceps baixo;O81.0 Parto p/forceps baixo;;;
O811;;F;;Parto por fórceps da cavidade mediana;O81.1 Parto p/forceps da cavidade mediana;;;
O812;;F;;Fórceps da cavidade mediana com rotação;O81.2 Forceps da cavidade mediana c/rotacao;;;
O813;;F;;Outros tipos de parto por fórceps e os não especificados;O81.3 Outr tipos de parto p/forceps e os NE;;;
O814;;F;;Parto por vácuo-extrator;O81.4 Parto p/vacuo-extrator;;;
O815;;F;;Parto por combinação de fórceps e vácuo-extrator;O81.5 Parto p/combinacao forceps e vacuo-extrator;;;
O820;;F;;Parto por cesariana eletiva;O82.0 Parto p/cesariana eletiva;;;
O821;;F;;Parto por cesariana de emergência;O82.1 Parto p/cesariana de emergencia;;;
O822;;F;;Parto por cesariana para histerectomia;O82.2 Parto p/cesariana p/histerectomia;;;
O828;;F;;Outros tipos de parto único por cesariana;O82.8 Outr tipos de parto unico p/cesariana;;;
O829;;F;;Parto por cesariana, não especificada;O82.9 Parto p/cesariana NE;;;
O830;;F;;Extração pélvica;O83.0 Extracao pelvica;;;
O831;;F;;Outros tipos de parto pélvico assistido;O83.1 Outr tipos de parto pelvico assistido;;;
O832;;F;;Outras formas de parto com o auxílio de manipulação;O83.2 Outr form de parto c/o auxilio manipulacao;;;
O833;;F;;Parto de gravidez intra-abdominal com feto viável;O83.3 Parto de grav intra-abdominal feto viavel;;;
O834;;F;;Cirurgia destrutiva para facilitar o parto;O83.4 Cirurgia destrutiva p/facilitar o parto;;;
O838;;F;;Outros tipos especificados de parto único assistido;O83.8 Outr tipos espec de parto unico assistido;;;
O839;;F;;Parto único assistido, não especificado;O83.9 Parto unico assistido NE;;;
O840;;F;;Parto múltiplo, todos espontâneos;O84.0 Parto mult todos espontaneos;;;
O841;;F;;Parto múltiplo, todos por fórceps ou vácuo-extrator;O84.1 Parto mult todos p/forceps ou vacuo-extrator;;;
O842;;F;;Parto múltiplo, todos por cesariana;O84.2 Parto mult todos p/cesariana;;;
O848;;F;;Outro tipo de parto múltiplo;O84.8 Outr tipo de parto mult;;;
O849;;F;;Parto múltiplo, não especificado;O84.9 Parto mult NE;;;
O85;;F;;Infecção puerperal;O85   Infecc puerperal;;;
O860;;F;;Infecção da incisão cirúrgica de origem obstétrica;O86.0 Infecc da incisao cirurgica orig obstetrica;;;
O861;;F;;Outras infecções dos órgãos genitais subseqüentes ao parto;O86.1 Outr infecc dos orgaos genitais subseq parto;;;
O862;;F;;Infecção das vias urinárias subseqüentes ao parto;O86.2 Infecc das vias urinarias subsequentes parto;;;
O863;;F;;Outras infecções das vias genitourinárias subseqüentes ao parto;O86.3 Outr infecc vias genitourin subseq parto;;;
O864;;F;;Febre de origem desconhecida subseqüente ao parto;O86.4 Febre orig desconhecida subsequente ao parto;;;
O868;;F;;Outras infecções puerperais especificadas;O86.8 Outr infecc puerperais espec;;;
O870;;F;;Tromboflebite superficial no puerpério;O87.0 Tromboflebite superf no puerperio;;;
O871;;F;;Tromboflebite profunda no puerpério;O87.1 Tromboflebite profunda no puerperio;;;
O872;;F;;Hemorróidas no puerpério;O87.2 Hemorroidas no puerperio;;;
O873;;F;;Trombose venosa cerebral no puerpério;O87.3 Trombose venosa cerebral no puerperio;;;
O878;;F;;Outras complicações venosas no puerpério;O87.8 Outr complic venosas no puerperio;;;
O879;;F;;Complicações venosas no puerpério, não especificadas;O87.9 Complic venosas no puerperio NE;;;
O880;;F;;Embolia gasosa de origem obstétrica;O88.0 Embolia gasosa orig obstetrica;;;
O881;;F;;Embolia amniótica;O88.1 Embolia amniotica;;;
O882;;F;;Embolia obstétrica por coágulo de sangue;O88.2 Embolia obstetrica p/coagulo de sangue;;;
O883;;F;;Embolia séptica ou piêmica de origem obstétrica;O88.3 Embolia septica ou piemica orig obstetrica;;;
O888;;F;;Outras embolias de origem obstétrica;O88.8 Outr embolias orig obstetrica;;;
O890;;F;;Complicações pulmonares da anestesia durante o puerpério;O89.0 Complic pulm anestesia durante puerperio;;;
O891;;F;;Complicações cardíacas devidas a anestesia durante o puerpério;O89.1 Complic card dev anestesia durante puerperio;;;
O892;;F;;Complicações relativas ao sistema nervoso central devidas a anestesia durante o puerpério;O89.2 Compl rel sist nerv cent dev anest puerperio;;;
O893;;F;;Reação tóxica a uma anestesia local durante o puerpério;O89.3 Reacao toxica anest local durante puerperio;;;
O894;;F;;Cefaléia provocada por uma anestesia raquidiana ou peridural, durante o puerpério;O89.4 Cefaleia prov anest raquid perid puerperio;;;
O895;;F;;Outras complicações de anestesia raquidiana ou peridural, durante o puerpério;O89.5 Outr compl anest raquid perid puerperio;;;
O896;;F;;Falha na ou dificuldade de entubação, durante o puerpério;O89.6 Falha dific de entubacao durante puerperio;;;
O898;;F;;Outras complicações da anestesia durante o puerpério;O89.8 Outr complic anestesia durante o puerperio;;;
O899;;F;;Complicação devida a anestesia, durante o puerpério, não especificada;O89.9 Complic dev anestesia durante o puerperio NE;;;
O900;;F;;Ruptura da incisão de cesariana;O90.0 Ruptura da incisao de cesariana;;;
O901;;F;;Ruptura da incisão obstétrica, no períneo;O90.1 Ruptura da incisao obstetrica no perineo;;;
O902;;F;;Hematoma da incisão obstétrica;O90.2 Hematoma da incisao obstetrica;;;
O903;;F;;Cardiomiopatia no puerpério;O90.3 Cardiomiopatia no puerperio;;;
O904;;F;;Insuficiência renal aguda do pós-parto;O90.4 Insuf renal aguda do pos-parto;;;
O905;;F;;Tireoidite do pós-parto;O90.5 Tireoidite do pos-parto;;;
O908;;F;;Outras complicações do puerpério, não classificadas em outra parte;O90.8 Outr complic do puerperio NCOP;;;
O909;;F;;Complicação do puerpério não especificada;O90.9 Complic do puerperio NE;;;
O910;;F;;Infecção do mamilo associada ao parto;O91.0 Infecc do mamilo assoc ao parto;;;
O911;;F;;Abscesso da mama associada ao parto;O91.1 Abscesso da mama assoc ao parto;;;
O912;;F;;Mastite não purulenta associada ao parto;O91.2 Mastite nao purulenta assoc ao parto;;;
O920;;F;;Mamilo retraído associado ao parto;O92.0 Mamilo retraido assoc ao parto;;;
O921;;F;;Fissuras do mamilo associadas ao parto;O92.1 Fissuras do mamilo assoc ao parto;;;
O922;;F;;Outras afecções da mama, e as não especificadas, associadas ao parto;O92.2 Outr afeccoes da mama e as NE assoc ao parto;;;
O923;;F;;Agalactia;O92.3 Agalactia;;;
O924;;F;;Hipogalactia;O92.4 Hipogalactia;;;
O925;;F;;Suspensão da lactação;O92.5 Suspensao da lactacao;;;
O926;;F;;Galactorréia;O92.6 Galactorreia;;;
O927;;F;;Outros distúrbios da lactação e os não especificados;O92.7 Outr disturbios da lactacao e os NE;;;
O94;;F;N;Seqüelas de complicações da gravidez, parto e puerpério;O94   Seqüelas complic gravidez parto e puerpério;;;
O95;;F;;Morte obstétrica de causa não especificada;O95   Morte obstetrica de causa NE;;;
O96;;F;;Morte, por qualquer causa obstétrica, que ocorre mais de 42 dias, mas menos de 1 ano, após o parto;O96   Morte qq caus obst mais 42d menos 1a parto;;;
O97;;F;;Morte por seqüelas de causas obstétricas diretas;O97   Morte p/sequelas causas obstetricas diretas;;;
O980;;F;;Tuberculose complicando a gravidez, o parto e o puerpério;O98.0 Tuberc complic gravidez parto e puerperio;;;
O981;;F;;Sífilis complicando a gravidez, o parto e o puerpério;O98.1 Sifilis complic gravidez parto e puerperio;;;
O982;;F;;Gonorréia complicando a gravidez, o parto e o puerpério;O98.2 Gonorreia complic gravidez parto e puerperio;;;
O983;;F;;Outras infecções em que a via de transmissão é predominantemente sexual, complicando a gravidez, o parto e o puerpério;O98.3 Out inf via trans sex compl grav parto puerp;;;
O984;;F;;Hepatite viral complicando a gravidez, o parto e o puerpério;O98.4 Hepatite viral complic gravidez parto puerp;;;
O985;;F;;Outras doenças virais complicando a gravidez, o parto e o puerpério;O98.5 Outr doenc virais compl gravidez parto puerp;;;
O986;;F;;Doenças causadas por protozoários complicando a gravidez, o parto e o puerpério;O98.6 Doenc caus protozoar compl grav parto puerp;;;
O988;;F;;Outras doenças infecciosas e parasitárias maternas complicando a gravidez, o parto e o puerpério;O98.8 Out doen inf paras mat comp grav parto puerp;;;
O989;;F;;Doenças infecciosas e parasitárias maternas, não especificadas, complicando a gravidez, o parto e o puerpério;O98.9 Doen inf paras mat NE compl grav parto puerp;;;
O990;;F;;Anemia complicando a gravidez, o parto e o puerpério;O99.0 Anemia complic gravidez parto puerperio;;;
O991;;F;;Outras doenças do sangue e dos órgãos hematopoéticos e alguns transtornos que comprometem o sistema imunológico, complicando a gravidez, o parto e o puerpério;O99.1 Out doen sang hemat imun comp grav part puer;;;
O992;;F;;Doenças endócrinas, nutricionais e metabólicas complicando a gravidez, o parto e o puerpério;O99.2 Doen endoc nutr metab compl grav parto puerp;;;
O993;;F;;Transtornos mentais e doenças do sistema nervoso complicando a gravidez, o parto e o puerpério;O99.3 Trans ment doen sis nerv comp grav part puer;;;
O994;;F;;Doenças do aparelho circulatório complicando a gravidez, o parto e o puerpério;O99.4 Doenc ap circulat compl gravidez parto puerp;;;
O995;;F;;Doenças do aparelho respiratório complicando a gravidez, o parto e o puerpério;O99.5 Doenc ap respirat compl gravidez parto puerp;;;
O996;;F;;Doenças do aparelho digestivo complicando a gravidez, o parto e o puerpério;O99.6 Doenc ap digestiv compl gravidez parto puerp;;;
O997;;F;;Doenças da pele e do tecido subcutâneo complicando a gravidez, o parto e o puerpério;O99.7 Doenc pele tec subcut compl grav parto puerp;;;
O998;;F;;Outras doenças e afecções especificadas complicando a gravidez, o parto e o puerpério;O99.8 Outr doenc afec espec compl grav parto puerp;;;
P000;;;;Feto e recém-nascido afetados por transtornos maternos hipertensivos;P00.0 Fet rec-nasc afet transt mat hipertensivos;;;
P001;;;;Feto e recém-nascido afetados por doenças maternas renais e das vias urinárias;P00.1 Fet rec-nasc afet doenc mat renais vias urin;;;
P002;;;;Feto e recém-nascido afetados por doenças infecciosas e parasitárias da mãe;P00.2 Fet rec-nasc afet doenc infecc parasit mae;;;
P003;;;;Feto e recém-nascido afetados por outras doenças circulatórias e respiratórias maternas;P00.3 Fet rec-nasc afet outr doenc circ resp mat;;;
P004;;;;Feto e recém-nascido afetados por transtornos nutricionais maternos;P00.4 Fet rec-nasc afet transt nutricionais matern;;;
P005;;;;Feto e recém-nascido afetados por traumatismo materno;P00.5 Fet rec-nasc afetados p/traum materno;;;
P006;;;;Feto e recém-nascido afetados por intervenção cirúrgica na mãe;P00.6 Fet rec-nasc afet intervencao cirurgica mae;;;
P007;;;;Feto e recém-nascido afetados por outros procedimentos médicos na mãe, não classificados em outra parte;P00.7 Fet rec-nasc afet outr proced med mae NCOP;;;
P008;;;;Feto e recém-nascido afetados por outras afecções maternas;P00.8 Fet rec-nasc afet outr afeccoes maternas;;;
P009;;;;Feto e recém-nascido afetados por afecção materna não especificada;P00.9 Fet rec-nasc afetados p/afeccao materna NE;;;
P010;;;;Feto e recém-nascido afetados por incompetência do colo uterino;P01.0 Fet rec-nasc afet incompetencia colo uterino;;;
P011;;;;Feto e recém-nascido afetados por ruptura prematura das membranas;P01.1 Fet rec-nasc afet ruptura prematura membr;;;
P012;;;;Feto e recém-nascido afetados por oligohidrâmnio;P01.2 Fet rec-nasc afetados p/oligohidramnio;;;
P013;;;;Feto e recém-nascido afetados por polihidrâmnio;P01.3 Fet rec-nasc afetados p/polihidramnio;;;
P014;;;;Feto e recém-nascido afetados por gravidez ectópica;P01.4 Fet rec-nasc afetados p/gravidez ectopica;;;
P015;;;;Feto e recém-nascido afetados por gravidez múltipla;P01.5 Fet rec-nasc afetados p/gravidez mult;;;
P016;;;;Feto e recém-nascido afetados por morte materna;P01.6 Fet rec-nasc afetados p/morte materna;;;
P017;;;;Feto e recém-nascido afetados por apresentação anormal antes do trabalho de parto;P01.7 Fet rec-nasc afet apres anor antes trab part;;;
P018;;;;Feto e recém-nascido afetados por outras complicações maternas da gravidez;P01.8 Fet rec-nasc afet outr complic mat gravidez;;;
P019;;;;Feto e recém-nascido afetados por afecções maternas da gravidez, não especificadas;P01.9 Fet rec-nasc afet afecc maternas gravidez NE;;;
P020;;;;Feto e recém-nascido afetados por placenta prévia;P02.0 Fet rec-nasc afetados p/placenta previa;;;
P021;;;;Feto e recém-nascido afetados por outras formas de descolamento da placenta e hemorragia;P02.1 Fet rec-nasc afet outr form desc plac hemorr;;;
P022;;;;Feto e recém-nascido afetados por outras anormalidades morfológicas e funcionais da placenta e as não especificadas;P02.2 Fet rec-nasc afet out anor morf func plac NE;;;
P023;;;;Feto e recém-nascido afetados por síndromes de transfusão placentária;P02.3 Fet rec-nasc afet sindr transf placentaria;;;
P024;;;;Feto e recém-nascido afetados por prolapso de cordão umbilical;P02.4 Fet rec-nasc afet prolapso cordao umbilical;;;
P025;;;;Feto e recém-nascido afetados por outras compressões do cordão umbilical;P02.5 Fet rec-nasc afet outr compr cord umbilical;;;
P026;;;;Feto e recém-nascido afetados por outras afecções do cordão umbilical e as não especificadas;P02.6 Fet rec-nasc afet outr afecc cordao umb NE;;;
P027;;;;Feto e recém-nascido afetados por corioamnionite;P02.7 Fet rec-nasc afetados p/corioamnionite;;;
P028;;;;Feto e recém-nascido afetados por outras anormalidades das membranas;P02.8 Fet rec-nasc afet outr anorm membranas;;;
P029;;;;Feto e recém-nascido afetados por anormalidade não especificada das membranas;P02.9 Fet rec-nasc afet anormalidade NE membranas;;;
P030;;;;Feto e recém-nascido afetados por parto e extração pélvicas;P03.0 Fet rec-nasc afet parto e extracao pelvicas;;;
P031;;;;Feto e recém-nascido afetados por outras apresentações anormais, má-posições e desproporções durante o trabalho de parto e o parto;P03.1 Fet rec-nasc afet out apres anor ma-pos desp;;;
P032;;;;Feto e recém-nascido afetados por parto por fórceps;P03.2 Fet rec-nasc afetados p/parto p/forceps;;;
P033;;;;Feto e recém-nascido afetados por parto por vácuo-extrator [ventosa];P03.3 Fet rec-nasc afet parto p/vacuo-extrator;;;
P034;;;;Feto e recém-nascido afetados por parto por cesariana;P03.4 Fet rec-nasc afetados p/parto p/cesariana;;;
