CAT;CLASSIF;DESCRICAO;DESCRABREV;REFER;EXCLUIDOS;
P28;;Outras afecções respiratórias originadas no período perinatal;P28   Outr afeccoes respirat orig per perinatal;;;
P29;;Transtornos cardiovasculares originados no período perinatal;P29   Transt cardiovasc orig periodo perinatal;;;
P35;;Doenças virais congênitas;P35   Doenc virais congen;;;
P36;;Septicemia bacteriana do recém-nascido;P36   Septicemia bacter do recem-nascido;;;
P37;;Outras doenças infecciosas e parasitárias congênitas;P37   Outr doenc infecc e parasit congen;;;
P38;;Onfalite do recém-nascido com ou sem hemorragia leve;P38   Onfalite recem-nasc c/ou s/hemorragia leve;;;
P39;;Outras infecções específicas do período perinatal;P39   Outr infecc especificas do periodo perinatal;;;
P50;;Perda sangüínea fetal;P50   Perda sanguinea fetal;;;
P51;;Hemorragia umbilical do recém-nascido;P51   Hemorragia umbilical do recem-nascido;;;
P52;;Hemorragia intracraniana não-traumática do feto e do recém-nascido;P52   Hemorragia intracran nao-traum feto rec-nasc;;;
P53;;Doença hemorrágica do feto e do recém-nascido;P53   Doenc hemorragica do feto e do recem-nascido;;;
P54;;Outras hemorragias neonatais;P54   Outr hemorragias neonatais;;;
P55;;Doença hemolítica do feto e do recém-nascido;P55   Doenc hemolitica do feto e do recem-nascido;;;
P56;;Hidropsia fetal devida a doença hemolítica;P56   Hidropsia fetal dev doenc hemolitica;;;
P57;;Kernicterus;P57   Kernicterus;;;
P58;;Icterícia neonatal devida a outras hemólises excessivas;P58   Ictericia neonatal dev outr hemolises excess;;;
P59;;Icterícia neonatal devida a outras causas e às não especificadas;P59   Ictericia neonatal dev outr causas e as NE;;;
P60;;Coagulação intravascular disseminada do feto e do recém-nascido;P60   Coagulacao intravasc dissem feto rec-nasc;;;
P61;;Outros transtornos hematológicos perinatais;P61   Outr transt hematologicos perinatais;;;
P70;;Transtornos transitórios do metabolismo dos carboidratos específicos do feto e do recém-nascido;P70   Trans transit metab carboid esp fet rec-nasc;;;
P71;;Transtornos transitórios do metabolismo do cálcio e do magnésio do período neonatal;P71   Transt transit metab calcio magn per neonat;;;
P72;;Outros transtornos endócrinos transitórios do período neonatal;P72   Outr transt endocrinos transit period neonat;;;
P74;;Outros distúrbios eletrolíticos e metabólicos transitórios do período neonatal;P74   Outr dist eletrolit metab transit per neonat;;;
P75;*;Íleo meconial;P75   Ileo meconial;E84.1+;;
P76;;Outras obstruções intestinais do recém-nascido;P76   Outr obstrucoes intestinais do recem-nascido;;;
P77;;Enterocolite necrotizante do feto e do recém-nascido;P77   Enterocolite necrotizante do feto e rec-nasc;;;
P78;;Outros transtornos do aparelho digestivo do período perinatal;P78   Outr transt ap digestivo periodo perinatal;;;
P80;;Hipotermia do recém-nascido;P80   Hipotermia do recem-nascido;;;
P81;;Outros distúrbios da regulação térmica do recém-nascido;P81   Outr disturbios regulacao termica rec-nasc;;;
P83;;Outras afecções comprometendo o tegumento específicas do feto e do recém-nascido;P83   Outr afecc compr tegum espec feto rec-nasc;;;
P90;;Convulsões do recém-nascido;P90   Convulsoes do recem-nascido;;;
P91;;Outros distúrbios da função cerebral do recém-nascido;P91   Outr disturbios funcao cerebral rec-nasc;;;
P92;;Problemas de alimentação do recém-nascido;P92   Problemas de alimentacao do recem-nascido;;;
P93;;Reações e intoxicações devidas a drogas administradas ao feto e ao recém-nascido;P93   Reacoes e intox dev drog admin feto rec-nasc;;;
P94;;Transtornos do tônus muscular do recém-nascido;P94   Transt do tonus muscular do recem-nascido;;;
P95;;Morte fetal de causa não especificada;P95   Morte fetal de causa NE;;;
P96;;Outras afecções originadas no período perinatal;P96   Outr afeccoes originadas periodo perinatal;;;
Q00;;Anencefalia e malformações similares;Q00   Anencefalia e malformacoes similares;;;
Q01;;Encefalocele;Q01   Encefalocele;;;
Q02;;Microcefalia;Q02   Microcefalia;;;
Q03;;Hidrocefalia congênita;Q03   Hidrocefalia congen;;;
Q04;;Outras malformações congênitas do cérebro;Q04   Outr malformacoes congen do cerebro;;;
Q05;;Espinha bífida;Q05   Espinha bifida;;;
Q06;;Outras malformações congênitas da medula espinhal;Q06   Outr malformacoes congen da medula espinhal;;;
Q07;;Outras malformações congênitas do sistema nervoso;Q07   Outr malformacoes congen do sist nervoso;;;
Q10;;Malformações congênitas das pálpebras, do aparelho lacrimal e da órbita;Q10   Malform congen palpebras ap lacrimal orbita;;;
Q11;;Anoftalmia, microftalmia e macroftalmia;Q11   Anoftalmia microftalmia e macroftalmia;;;
Q12;;Malformações congênitas do cristalino;Q12   Malformacoes congen do cristalino;;;
Q13;;Malformações congênitas da câmara anterior do olho;Q13   Malformacoes congen camara anterior do olho;;;
Q14;;Malformações congênitas da câmara posterior do olho;Q14   Malformacoes congen camara posterior do olho;;;
Q15;;Outras malformações congênitas do olho;Q15   Outr malformacoes congen do olho;;;
Q16;;Malformações congênitas do ouvido causando comprometimento da audição;Q16   Malform congen ouvido caus compr audicao;;;
Q17;;Outras malformações congênitas da orelha;Q17   Outr malformacoes congen da orelha;;;
Q18;;Outras malformações congênitas da face e do pescoço;Q18   Outr malformacoes congen da face e pescoco;;;
Q20;;Malformações congênitas das câmaras e das comunicações cardíacas;Q20   Malform congen camaras e comunicacoes card;;;
Q21;;Malformações congênitas dos septos cardíacos;Q21   Malformacoes congen dos septos cardiacos;;;
Q22;;Malformações congênitas das valvas pulmonar e tricúspide;Q22   Malform congen valvas pulmonar tricuspide;;;
Q23;;Malformações congênitas das valvas aórtica e mitral;Q23   Malformacoes congen valvas aortica e mitral;;;
Q24;;Outras malformações congênitas do coração;Q24   Outr malformacoes congen do coracao;;;
Q25;;Malformações congênitas das grandes artérias;Q25   Malformacoes congen das grandes arterias;;;
Q26;;Malformações congênitas das grandes veias;Q26   Malformacoes congen das grandes veias;;;
Q27;;Outras malformações congênitas do sistema vascular periférico;Q27   Outr malformacoes congen sist vasc perif;;;
Q28;;Outras malformações congênitas do aparelho circulatório;Q28   Outr malform congen aparelho circulatorio;;;
Q30;;Malformação congênita do nariz;Q30   Malformacao congen do nariz;;;
Q31;;Malformações congênitas da laringe;Q31   Malformacoes congen da laringe;;;
Q32;;Malformações congênitas da traquéia e dos brônquios;Q32   Malformacoes congen traqueia e bronquios;;;
Q33;;Malformações congênitas do pulmão;Q33   Malformacoes congen do pulmao;;;
Q34;;Outras malformações congênitas do aparelho respiratório;Q34   Outr malformacoes congen aparelho respirat;;;
Q35;;Fenda palatina;Q35   Fenda palatina;;;
Q36;;Fenda labial;Q36   Fenda labial;;;
Q37;;Fenda labial com fenda palatina;Q37   Fenda labial c/fenda palatina;;;
Q38;;Outras malformações congênitas da língua, da boca e da faringe;Q38   Outr malform congen lingua boca e faringe;;;
Q39;;Malformações congênitas do esôfago;Q39   Malformacoes congen do esofago;;;
Q40;;Outras malformações congênitas do trato digestivo superior;Q40   Outr malform congen trato digestivo super;;;
Q41;;Ausência, atresia e estenose congênita do intestino delgado;Q41   Ausencia atresia estenose congen intest delg;;;
Q42;;Ausência, atresia e estenose congênita do cólon;Q42   Ausencia atresia e estenose congen do colon;;;
Q43;;Outras malformações congênitas do intestino;Q43   Outr malformacoes congen do intestino;;;
Q44;;Malformações congênitas da vesícula biliar, das vias biliares e do fígado;Q44   Malform congen vesic biliar via biliar figad;;;
Q45;;Outras malformações congênitas do aparelho digestivo;Q45   Outr malformacoes congen aparelho digestivo;;;
Q50;;Malformações congênitas dos ovários, das trompas de Falópio e dos ligamentos largos;Q50   Malform cong ovario tromp Falopio lig largos;;;
Q51;;Malformações congênitas do útero e do colo do útero;Q51   Malformacoes congen utero e do colo do utero;;;
Q52;;Outras malformações congênitas dos órgãos genitais femininos;Q52   Outr malformacoes congen org genitais femin;;;
Q53;;Testículo não-descido;Q53   Testiculo nao-descido;;;
Q54;;Hipospádias;Q54   Hipospadias;;;
Q55;;Outras malformações congênitas dos órgãos genitais masculinos;Q55   Outr malformacoes congen org genitais masc;;;
Q56;;Sexo indeterminado e pseudo-hermafroditismo;Q56   Sexo indeterminado e pseudo-hermafroditismo;;;
Q60;;Agenesia renal e outros defeitos de redução do rim;Q60   Agenesia renal e outr defeitos reducao rim;;;
Q61;;Doenças císticas do rim;Q61   Doenc cisticas do rim;;;
Q62;;Anomalias congênitas obstrutivas da pelve renal e malformações congênitas do ureter;Q62   Anom cong obstr pelv renal malf cong ureter;;;
Q63;;Outras malformações congênitas do rim;Q63   Outr malformacoes congen do rim;;;
Q64;;Outras malformações congênitas do aparelho urinário;Q64   Outr malformacoes congen aparelho urinario;;;
Q65;;Malformações congênitas do quadril;Q65   Malformacoes congen do quadril;;;
Q66;;Deformidades congênitas do pé;Q66   Deform congen do pe;;;
Q67;;Deformidades osteomusculares congênitas da cabeça, da face, da coluna e do tórax;Q67   Deform osteom cong cabeca face coluna torax;;;
Q68;;Outras deformidades osteomusculares congênitas;Q68   Outr deform osteomusculares congen;;;
Q69;;Polidactilia;Q69   Polidactilia;;;
Q70;;Sindactilia;Q70   Sindactilia;;;
Q71;;Defeitos, por redução, do membro superior;Q71   Defeitos p/reducao do membro super;;;
Q72;;Defeitos, por redução, do membro inferior;Q72   Defeitos p/reducao do membro infer;;;
Q73;;Defeitos por redução de membro não especificado;Q73   Defeitos p/reducao de membro NE;;;
Q74;;Outras malformações congênitas dos membros;Q74   Outr malformacoes congen dos membros;;;
Q75;;Outras malformações congênitas dos ossos do crânio e da face;Q75   Outr malformacoes congen ossos cranio e face;;;
Q76;;Malformações congênitas da coluna vertebral e dos ossos do tórax;Q76   Malform congen coluna vertebral ossos torax;;;
Q77;;Osteocondrodisplasia com anomalias de crescimento dos ossos longos e da coluna vertebral;Q77   Osteocondr c/anom cresc ossos long col vert;;;
Q78;;Outras osteocondrodisplasias;Q78   Outr osteocondrodisplasias;;;
Q79;;Malformações congênitas do sistema osteomuscular não classificadas em outra parte;Q79   Malformacoes congen sist osteomuscular NCOP;;;
Q80;;Ictiose congênita;Q80   Ictiose congen;;;
Q81;;Epidermólise bolhosa;Q81   Epidermolise bolhosa;;;
Q82;;Outras malformações congênitas da pele;Q82   Outr malformacoes congen da pele;;;
Q83;;Malformações congênitas da mama;Q83   Malformacoes congen da mama;;;
Q84;;Outras malformações congênitas do tegumento;Q84   Outr malformacoes congen do tegumento;;;
Q85;;Facomatoses não classificadas em outra parte;Q85   Facomatoses NCOP;;;
Q86;;Síndromes com malformações congênitas devidas a causas exógenas conhecidas, não classificadas em outra parte;Q86   Sindr c/malf cong dev causas exog conh NCOP;;;
Q87;;Outras síndromes com malformações congênitas que acometem múltiplos sistemas;Q87   Outr sindr c/malform cong q acomet mult sist;;;
Q89;;Outras malformações congênitas não classificadas em outra parte;Q89   Outr malformacoes congen NCOP;;;
Q90;;Síndrome de Down;Q90   Sindr de Down;;;
Q91;;Síndrome de Edwards e síndrome de Patau;Q91   Sindr de Edwards e sindr de Patau;;;
Q92;;Outras trissomias e trissomias parciais dos autossomos, não classificadas em outra parte;Q92   Outr trissomias e trissom parc autoss NCOP;;;
Q93;;Monossomias e deleções dos autossomos, não classificadas em outra parte;Q93   Monossomias e delecoes dos autossomos NCOP;;;
Q95;;Rearranjos equilibrados e marcadores estruturais, não classificados em outra parte;Q95   Rearranjos equilibr e marcadores estrut NCOP;;;
Q96;;Síndrome de Turner;Q96   Sindr de Turner;;;
Q97;;Outras anomalias dos cromossomos sexuais, fenótipo feminino, não classificadas em outra parte;Q97   Outr anom cromoss sexuais fenotipo fem NCOP;;;
Q98;;Outras anomalias dos cromossomos sexuais, fenótipo masculino, não classificadas em outra parte;Q98   Outr anom cromoss sexuais fenotipo masc NCOP;;;
Q99;;Outras anomalias dos cromossomos, não classificadas em outra parte;Q99   Outr anomalias dos cromossomos NCOP;;;
R00;;Anormalidades do batimento cardíaco;R00   Anormalidades do batimento cardiaco;;;
R01;;Sopros e outros ruídos cardíacos;R01   Sopros e outr ruidos cardiacos;;;
R02;;Gangrena não classificada em outra parte;R02   Gangrena NCOP;;;
R03;;Valor anormal da pressão arterial sem diagnóstico;R03   Valor anormal pressao arterial s/diagn;;;
R04;;Hemorragia das vias respiratórias;R04   Hemorragia das vias respirat;;;
R05;;Tosse;R05   Tosse;;;
R06;;Anormalidades da respiração;R06   Anormalidades da respiracao;;;
R07;;Dor de garganta e no peito;R07   Dor de garganta e no peito;;;
R09;;Outros sintomas e sinais relativos aos aparelhos circulatório e respiratório;R09   Outr sint sinais relat ap circulat respirat;;;
R10;;Dor abdominal e pélvica;R10   Dor abdominal e pelvica;;;
R11;;Náusea e vômitos;R11   Nausea e vomitos;;;
R12;;Pirose;R12   Pirose;;;
R13;;Disfagia;R13   Disfagia;;;
R14;;Flatulência e afecções correlatas;R14   Flatulencia e afeccoes correlatas;;;
R15;;Incontinência fecal;R15   Incontinencia fecal;;;
R16;;Hepatomegalia e esplenomegalia não classificadas em outra parte;R16   Hepatomegalia e esplenomegalia NCOP;;;
R17;;Icterícia não especificada;R17   Ictericia NE;;;
R18;;Ascite;R18   Ascite;;;
R19;;Outros sintomas e sinais relativos ao aparelho digestivo e ao abdome;R19   Outr sint e sinais relat ap digest abdome;;;
R20;;Distúrbios da sensibilidade cutânea;R20   Disturbios da sensibilidade cutanea;;;
R21;;Eritema e outras erupções cutâneas não especificadas;R21   Eritema e outr erupcoes cutaneas NE;;;
R22;;Tumefação, massa ou tumoração localizadas da pele e do tecido subcutâneo;R22   Tumefac massa tumoracao loc pele tec subcut;;;
R23;;Outras alterações cutâneas;R23   Outr alteracoes cutaneas;;;
R25;;Movimentos involuntários anormais;R25   Movimentos involuntarios anormais;;;
R26;;Anormalidades da marcha e da mobilidade;R26   Anormalidades da marcha e da mobilidade;;;
R27;;Outros distúrbios da coordenação;R27   Outr disturbios da coordenacao;;;
R29;;Outros sintomas e sinais relativos aos sistemas nervoso e osteomuscular;R29   Outr sint sinais relat sist nerv osteomusc;;;
R30;;Dor associada à micção;R30   Dor assoc a miccao;;;
R31;;Hematúria não especificada;R31   Hematuria NE;;;
R32;;Incontinência urinária não especificada;R32   Incontinencia urinaria NE;;;
R33;;Retenção urinária;R33   Retencao urinaria;;;
R34;;Anúria e oligúria;R34   Anuria e oliguria;;;
R35;;Poliúria;R35   Poliuria;;;
R36;;Secreção uretral;R36   Secrecao uretral;;;
R39;;Outros sintomas e sinais relativos ao aparelho urinário;R39   Outr sint e sinais relativos ap urinario;;;
R40;;Sonolência, estupor e coma;R40   Sonolencia estupor e coma;;;
R41;;Outros sintomas e sinais relativos à função cognitiva e à consciência;R41   Outr sint sinais relat func cognit e consc;;;
R42;;Tontura e instabilidade;R42   Tontura e instabilidade;;;
R43;;Distúrbios do olfato e do paladar;R43   Disturbios do olfato e do paladar;;;
R44;;Outros sintomas e sinais relativos às sensações e às percepções gerais;R44   Outr sint sinais relat sensac percep gerais;;;
R45;;Sintomas e sinais relativos ao estado emocional;R45   Sint e sinais relativos ao estado emocional;;;
R46;;Sintomas e sinais relativos à aparência e ao comportamento;R46   Sint e sinais relativos aparencia e comport;;;
R47;;Distúrbios da fala não classificados em outra parte;R47   Disturbios da fala NCOP;;;
R48;;Dislexia e outras disfunções simbólicas, não classificadas em outra parte;R48   Dislexia e outr disfuncoes simbolicas NCOP;;;
R49;;Distúrbios da voz;R49   Disturbios da voz;;;
R50;;Febre de origem desconhecida e de outras origens;R50   Febre origem desconhecida e outras origens;;;
R51;;Cefaléia;R51   Cefaleia;;;
R52;;Dor não classificada em outra parte;R52   Dor NCOP;;;
R53;;Mal estar, fadiga;R53   Mal estar fadiga;;;
R54;;Senilidade;R54   Senilidade;;;
R55;;Síncope e colapso;R55   Sincope e colapso;;;
R56;;Convulsões, não classificadas em outra parte;R56   Convulsoes NCOP;;;
R57;;Choque não classificado em outra parte;R57   Choque NCOP;;;
R58;;Hemorragia não classificada em outra parte;R58   Hemorragia NCOP;;;
R59;;Aumento de volume dos gânglios linfáticos;R59   Aumento de volume dos ganglios linfaticos;;;
R60;;Edema não classificado em outra parte;R60   Edema NCOP;;;
R61;;Hiperidrose;R61   Hiperidrose;;;
R62;;Retardo do desenvolvimento fisiológico normal;R62   Retardo do desenvolv fisiologico normal;;;
R63;;Sintomas e sinais relativos à ingestão de alimentos e líquidos;R63   Sint sinais relat ingestao alimentos liquid;;;
R64;;Caquexia;R64   Caquexia;;;
R68;;Outros sintomas e sinais gerais;R68   Outr sint e sinais gerais;;;
R69;;Causas desconhecidas e não especificadas de morbidade;R69   Causas desconhecidas e NE de morbidade;;;
R70;;Velocidade de hemossedimentação elevada e outras anormalidades da viscosidade plasmática;R70   Veloc hemossedim elev outr anorm visc plasm;;;
R71;;Anormalidade das hemácias;R71   Anormalidade das hemacias;;;
R72;;Anormalidade dos leucócitos não classificada em outra parte;R72   Anormalidade dos leucocitos NCOP;;;
R73;;Aumento da glicemia;R73   Aumento da glicemia;;;
R74;;Anormalidades dos níveis de enzimas séricas;R74   Anormalidades dos niveis de enzimas sericas;;;
R75;;Evidência laboratorial do vírus da imunodeficiência humana [HIV];R75   Evidencia laboratorial do HIV;;;
R76;;Outros achados imunológicos anormais no soro;R76   Outr achados imunologicos anormais no soro;;;
R77;;Outras anormalidades das proteínas plasmáticas;R77   Outr anormalidades das proteinas plasmaticas;;;
R78;;Presença de drogas e de outras substâncias normalmente não encontradas no sangue;R78   Presenca drog outr subst norm n encontr sang;;;
R79;;Outros achados anormais de exames químicos do sangue;R79   Outr achados anormais exames quimicos sangue;;;
R80;;Proteinúria isolada;R80   Proteinuria isolada;;;
R81;;Glicosúria;R81   Glicosuria;;;
R82;;Outros achados anormais na urina;R82   Outr achados anormais na urina;;;
R83;;Achados anormais no líquido cefalorraquidiano;R83   Achados anormais liquido cefalorraquidiano;;;
R84;;Achados anormais de material proveniente dos órgãos respiratórios e do tórax;R84   Achados anormais mat prov org respirat torax;;;
R85;;Achados anormais de material proveniente dos órgãos digestivos e da cavidade abdominal;R85   Achados anorm mat prov org digest cav abdom;;;
R86;;Achados anormais de material proveniente dos órgãos genitais masculinos;R86   Achados anormais mat prov org genitais masc;;;
R87;;Achados anormais de material proveniente dos órgãos genitais femininos;R87   Achados anormais mat prov org genitais femin;;;
R89;;Achados anormais de material proveniente de outros órgãos, aparelhos, sistemas e tecidos;R89   Achados anorms mat prov outr org ap sist tec;;;
R90;;Resultados anormais de exames para diagnóstico por imagem do sistema nervoso central;R90   Result anorm exam diagn imag sist nerv centr;;;
R91;;Achados anormais, de exames para diagnóstico por imagem, do pulmão;R91   Achados anorm exames diagn imagem do pulmao;;;
R92;;Achados anormais, de exames para diagnóstico por imagem, da mama;R92   Achados anorm exames diagn imagem da mama;;;
R93;;Achados anormais de exames para diagnóstico por imagem de outras estruturas do corpo;R93   Achados anorm exam diagn imag out estr corp;;;
R94;;Resultados anormais de estudos de função;R94   Resultados anormais de estudos de funcao;;;
R95;;Síndrome da morte súbita na infância;R95   Sindr da morte subita na infancia;;;
R96;;Outras mortes súbitas de causa desconhecida;R96   Outr mortes subitas de causa desconhecida;;;
R98;;Morte sem assistência;R98   Morte s/assist;;;
R99;;Outras causas mal definidas e as não especificadas de mortalidade;R99   Outr causas mal definidas e NE mortalidade;;;
S00;;Traumatismo superficial da cabeça;S00   Traum superf da cabeca;;;
S01;;Ferimento da cabeça;S01   Ferim da cabeca;;;
S02;;Fratura do crânio e dos ossos da face;S02   Frat do cranio e dos ossos da face;;;
S03;;Luxação, entorse ou distensão das articulações e dos ligamentos da cabeça;S03   Luxacao entorse distensao artic lig cabeca;;;
S04;;Traumatismo dos nervos cranianos;S04   Traum dos nervos cranianos;;;
S05;;Traumatismo do olho e da órbita ocular;S05   Traum do olho e da orbita ocular;;;
S06;;Traumatismo intracraniano;S06   Traum intracraniano;;;
S07;;Lesões por esmagamento da cabeça;S07   Lesoes p/esmag da cabeca;;;
S08;;Amputação traumática de parte da cabeça;S08   Amput traum de parte da cabeca;;;
S09;;Outros traumatismos da cabeça e os não especificados;S09   Outr traum da cabeca e os NE;;;
S10;;Traumatismo superficial do pescoço;S10   Traum superf do pescoco;;;
S11;;Ferimento do pescoço;S11   Ferim do pescoco;;;
S12;;Fratura do pescoço;S12   Frat do pescoco;;;
S13;;Luxação, entorse ou distensão das articulações e dos ligamentos do pescoço;S13   Luxacao entorse distensao artic lig pescoco;;;
S14;;Traumatismo de nervos e da medula espinhal ao nível cervical;S14   Traum nervos medula espinhal nivel cervical;;;
S15;;Traumatismo dos vasos sangüíneos ao nível do pescoço;S15   Traum dos vasos sanguineos nivel do pescoco;;;
S16;;Traumatismo de tendões e de músculos do pescoço;S16   Traum de tendoes e de musculos do pescoco;;;
S17;;Lesões por esmagamento do pescoço;S17   Lesoes p/esmag do pescoco;;;
S18;;Amputação traumática ao nível do pescoço;S18   Amput traum ao nivel do pescoco;;;
S19;;Outros traumatismos do pescoço e os não especificados;S19   Outr traum do pescoco e os NE;;;
S20;;Traumatismo superficial do tórax;S20   Traum superf do torax;;;
S21;;Ferimento do tórax;S21   Ferim do torax;;;
S22;;Fratura de costela(s), esterno e coluna torácica;S22   Frat de costelas esterno e coluna toracica;;;
S23;;Luxação, entorse e distensão de articulações e dos ligamentos do tórax;S23   Luxacao entorse distensao artic lig do torax;;;
S24;;Traumatismos de nervos e da medula espinhal ao nível do tórax;S24   Traum nervos e medula espinhal nivel torax;;;
S25;;Traumatismo de vasos sangüíneos do tórax;S25   Traum de vasos sanguineos do torax;;;
S26;;Traumatismo do coração;S26   Traum do coracao;;;
S27;;Traumatismo de outros órgãos intratorácicos e dos não especificados;S27   Traum de outr orgaos intratoracicos e dos NE;;;
S28;;Lesão por esmagamento do tórax e amputação traumática de parte do tórax;S28   Lesao p/esmag torax amput traum parte torax;;;
S29;;Outros traumatismos do tórax e os não especificados;S29   Outr traum do torax e os NE;;;
S30;;Traumatismo superficial do abdome, do dorso e da pelve;S30   Traum superf do abdome do dorso e da pelve;;;
S31;;Ferimento do abdome, do dorso e da pelve;S31   Ferim do abdome do dorso e da pelve;;;
S32;;Fratura da coluna lombar e da pelve;S32   Frat da coluna lombar e da pelve;;;
S33;;Luxação, entorse ou distensão das articulações e dos ligamentos da coluna lombar e da pelve;S33   Luxac entors dist artic lig col lombar pelve;;;
S34;;Traumatismo dos nervos e da medula lombar ao nível do abdome, do dorso e da pelve;S34   Traum nerv med lombar niv abdome dorso pelve;;;
S35;;Traumatismo de vasos sangüíneos ao nível do abdome, do dorso e da pelve;S35   Traum vasos sang nivel abdome dorso pelve;;;
S36;;Traumatismo de órgãos intra-abdominais;S36   Traum de orgaos intra-abdominais;;;
S37;;Traumatismo do aparelho urinário e de órgãos pélvicos;S37   Traum do aparelho urinario e orgaos pelvicos;;;
S38;;Lesão por esmagamento e amputação traumática de parte do abdome, do dorso e da pelve;S38   Lesao p/esmag amput traum part abd dors pelv;;;
S39;;Outros traumatismos e os não especificados do abdome, do dorso e da pelve;S39   Outr traum e os NE do abdome dorso e pelve;;;
S40;;Traumatismo superficial do ombro e do braço;S40   Traum superf do ombro e do braco;;;
S41;;Ferimento do ombro e do braço;S41   Ferim do ombro e do braco;;;
S42;;Fratura do ombro e do braço;S42   Frat do ombro e do braco;;;
S43;;Luxação, entorse e distensão das articulações e dos ligamentos da cintura escapular;S43   Luxacao entorse distens artic lig cint escap;;;
S44;;Traumatismo de nervos ao nível do ombro e do braço;S44   Traum de nervos ao nivel do ombro e do braco;;;
S45;;Traumatismo dos vasos sangüíneos ao nível do ombro e do braço;S45   Traum dos vasos sanguineos nivel ombro braco;;;
S46;;Traumatismo de tendão e músculo ao nível do ombro e do braço;S46   Traum de tendao e musculo nivel ombro braco;;;
S47;;Lesão por esmagamento do ombro e do braço;S47   Lesao p/esmag do ombro e do braco;;;
S48;;Amputação traumática do ombro e do braço;S48   Amput traum do ombro e do braco;;;
S49;;Outros traumatismos e os não especificados do ombro e do braço;S49   Outr traum e os NE do ombro e do braco;;;
S50;;Traumatismo superficial do cotovelo e do antebraço;S50   Traum superf do cotovelo e do antebraco;;;
S51;;Ferimento do antebraço;S51   Ferim do antebraco;;;
S52;;Fratura do antebraço;S52   Frat do antebraco;;;
S53;;Luxação, entorse e distensão das articulações e dos ligamentos do cotovelo;S53   Luxacao entorse distensao artic lig cotovelo;;;
S54;;Traumatismo de nervos ao nível do antebraço;S54   Traum de nervos ao nivel do antebraco;;;
S55;;Traumatismo de vasos sangüíneos ao nível do antebraço;S55   Traum de vasos sanguineos ao nivel antebraco;;;
S56;;Traumatismo do músculo e tendão ao nível do antebraço;S56   Traum do musculo e tendao ao nivel antebraco;;;
S57;;Lesão por esmagamento do antebraço;S57   Lesao p/esmag do antebraco;;;
S58;;Amputação traumática do cotovelo e do antebraço;S58   Amput traum do cotovelo e do antebraco;;;
S59;;Outros traumatismos do antebraço e os não especificados;S59   Outr traum do antebraco e os NE;;;
S60;;Traumatismo superficial do punho e da mão;S60   Traum superf do punho e da mao;;;
S61;;Ferimento do punho e da mão;S61   Ferim do punho e da mao;;;
S62;;Fratura ao nível do punho e da mão;S62   Frat ao nivel do punho e da mao;;;
S63;;Luxação, entorse e distensão das articulações e dos ligamentos ao nível do punho e da mão;S63   Luxac entors distens artic lig niv punho mao;;;
S64;;Traumatismo de nervos ao nível do punho e da mão;S64   Traum de nervos ao nivel do punho e da mao;;;
S65;;Traumatismo de vasos sangüíneos ao nível do punho e da mão;S65   Traum de vasos sanguineos nivel punho e mao;;;
S66;;Traumatismo de músculo e tendão ao nível do punho e da mão;S66   Traum de musculo e tendao nivel punho e mao;;;
S67;;Lesão por esmagamento do punho e da mão;S67   Lesao p/esmag do punho e da mao;;;
S68;;Amputação traumática ao nível do punho e da mão;S68   Amput traum ao nivel do punho e da mao;;;
S69;;Outros traumatismos e os não especificados do punho e da mão;S69   Outr traum e os NE do punho e da mao;;;
S70;;Traumatismo superficial do quadril e da coxa;S70   Traum superf do quadril e da coxa;;;
S71;;Ferimento do quadril e da coxa;S71   Ferim do quadril e da coxa;;;
S72;;Fratura do fêmur;S72   Frat do femur;;;
S73;;Luxação, entorse e distensão da articulação e dos ligamentos do quadril;S73   Luxacao entorse distensao artic lig quadril;;;
S74;;Traumatismo de nervos ao nível do quadril e da coxa;S74   Traum de nervos ao nivel do quadril e coxa;;;
S75;;Traumatismo de vasos sangüíneos ao nível do quadril e da coxa;S75   Traum vasos sanguineos nivel quadril e coxa;;;
S76;;Traumatismo de músculo e de tendão ao nível do quadril e da coxa;S76   Traum musculo e tendao nivel quadril e coxa;;;
S77;;Lesão por esmagamento do quadril e da coxa;S77   Lesao p/esmag do quadril e da coxa;;;
S78;;Amputação traumática do quadril e da coxa;S78   Amput traum do quadril e da coxa;;;
S79;;Outros traumatismos e os não especificados do quadril e da coxa;S79   Outr traum e os NE do quadril e da coxa;;;
S80;;Traumatismo superficial da perna;S80   Traum superf da perna;;;
S81;;Ferimento da perna;S81   Ferim da perna;;;
S82;;Fratura da perna, incluindo tornozelo;S82   Frat da perna incl tornozelo;;;
S83;;Luxação, entorse e distensão das articulações e dos ligamentos do joelho;S83   Luxacao entorse distensao art lig joelho;;;
S84;;Traumatismo de nervos periféricos da perna;S84   Traum de nervos perifericos da perna;;;
S85;;Traumatismo de vasos sangüíneos da perna;S85   Traum de vasos sanguineos da perna;;;
S86;;Traumatismos de músculo e de tendão ao nível da perna;S86   Traum de musculo e de tendao ao nivel perna;;;
S87;;Traumatismo por esmagamento da perna;S87   Traum p/esmag da perna;;;
S88;;Amputação traumática da perna;S88   Amput traum da perna;;;
S89;;Outros traumatismos e os não especificados da perna;S89   Outr traum e os NE da perna;;;
S90;;Traumatismo superficial do tornozelo e do pé;S90   Traum superf do tornozelo e do pe;;;
S91;;Ferimentos do tornozelo e do pé;S91   Ferim do tornozelo e do pe;;;
